shop,city,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,Medellin,VINO PROTOS RIBERA DEL DUEROX750CM3,PROTOS,0,0,97990,0
JUMBO,Medellin,VINO TINTO BERONIA RIOJA CRIANZA BOT.X750ML,BERONIA CRIANZA,0,0,75490,0
JUMBO,Medellin,VINO TINTO SANTA RITA SECRETRESERVECARMENEREX750ML,SANTA RITA,0,0,89990,0
JUMBO,Medellin,VINO SANTA HELENA CARMENERE TINTO X750CC,SANTA HELENA,0,0,42890,0
JUMBO,Medellin,VINO PICCINI LAMBRUSCO REGGIANO ROSE BOTX750ML,PICCINI,0,0,45990,0
JUMBO,Medellin,VINO TINTO NORTON DOC MALBEC BOT.X750ML,NORTON,0,0,63990,0
JUMBO,Medellin,VINO TINTO VOLCANES CARMENERE X 750 ML,VOLCANES,0,0,65990,0
JUMBO,Medellin,VINO CASILLERO DEL DIABLO SAUVIGNON BLANC X750ML,CASILLERO DEL DIABLO,0,0,69990,0
JUMBO,Medellin,BRANDY DOMECQ RESERVA 8 AÑOS X750ML,DOMECQ,0,0,67990,0
JUMBO,Medellin,VINO ALBAI TINTO CRIANZA RIOJA BOT.X750ML,ALBAI,0,0,47990,0
JUMBO,Medellin,VINO TINTO VOLCANES MERLOT X 750 ML,VOLCANES,0,0,65990,0
JUMBO,Medellin,VINO MISIONES RENGO CABERNET SAUVIGNON X 750CM3,MISIONES DE RENGO,0,0,44890,0
JUMBO,Medellin,VINO ARIENZO MARQUES DE RISCAL TINTO RIOJA CRIANZA X 750ML,MARQUESDERISCAL,0,0,81990,0
JUMBO,Medellin,VINO GATONEGRO 9 LIVES RESERVE CAB.SAUV BOTX750ML,GATO NEGRO,0,0,63290,0
JUMBO,Medellin,VINO ROBLE MAYOR CASTILLA TINT-750 ML,MAYOR CASTILLA,0,0,63990,0
JUMBO,Medellin,VINO TINTO SANTA CAROLINA RESERVA ESPECIAL CARMENERE X 750ML,SANTA CAROLINA,0,0,65290,0
JUMBO,Medellin,VINO SANTA CAROLINA RESERVADO SAUVIGNON BLANCO X 750ML,SANTA CAROLINA,0,0,42890,0
JUMBO,Medellin,VINO TINTO MERLOT 2015 SANTA HELENA X 750 ML,SANTA HELENA,0,0,42890,0
JUMBO,Medellin,VINO TINTO CASILLERO DEL DIABLO DEVIL'S COLLECTION X 750ML,CASILLERO DEL DIABLO,0,0,81990,0
JUMBO,Medellin,VINO EL ENEMIGO CABERNET FRANC BOT.X750ML,EL ENEMIGO,0,0,181990,0
