shop,name,brand,price_jumbo_prime,price_regular,price_now,discount
JUMBO,CERVEZA NEGRA ERDINGER PIKANTUS BOT X 500 ML,ERDINGER,$ 14.072,0,$ 17.590,0
JUMBO,CERVEZA FULLER'S INDIA PALE ALE BOTELLA X 500 ML,FULLERS,$ 14.072,0,$ 17.590,0
JUMBO,CERVEZA STÖRTEBEKER HANSE-PORTER BOTELLA X 500ML,STORTEBEKER,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA STELLA ARTOIS X4UND X330ML C-U + 2 CALICES,STELLA ARTOIS,$ 36.792,0,$ 45.990,0
JUMBO,CERVEZA ANDINA LIGHT LATA X6UNDX269MLC-U,ANDINA,0,0,$ 10.390,0
JUMBO,CERVEZA 3 CORDILLERAS MULATA 4 PACK BOT X330ML C-U,3 CORDILLERAS,0,0,$ 18.590,0
JUMBO,CERVEZA ROJA MONSERRATE BBC X 4 UND X 1320 ML,BBC,0,0,$ 18.590,0
JUMBO,CERVEZA CZECHVAR ORIGINAL BOTELLA X 330ML,CZECHVAR,$ 5.272,0,$ 6.590,0
JUMBO,CERVEZA HOFBRAU MUNCHEN ORIGINAL BOTELLA X 500 ML,HOFBRAU MUNCHEN,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA BENEDIKTINER WEISSBIER BOTELLA X 500 ML,BENEDIKTINER,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA HOFBRAU MUNCHEN WEISSE BOTELLA X 500 ML,HOFBRAU MUNCHEN,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA CORONA X355ML **,CORONA,$ 3.352,0,$ 4.190,0
JUMBO,CERVEZA 10 TRIPLE TRIPEL MAREDSOUS BOTELLA X 330 ML,MAREDSOUS,$ 11.992,0,$ 14.990,0
JUMBO,CERVEZA NEGRA CHAPINERO BBC X 4 UND X 1320 ML,BBC,0,0,$ 18.590,0
JUMBO,CERVEZA BALTIKA 7 EXPORT LAGER BOTELLA X 470 ML,BALTIKA,$ 7.992,0,$ 9.990,0
JUMBO,CERVEZA STEAM BREW IPA RADLER LATA X500ML,STEAM BREW,$ 10.712,0,$ 13.390,0
JUMBO,CERVEZA HEINEKEN BOTELLA X650ML,HEINEKEN,$ 6.552,0,$ 8.190,0
JUMBO,CERVEZA HOLLANDIA LATA X330ML,HOLLANDIA,$ 2.872,0,$ 3.590,0
JUMBO,CERVEZA BITBURGUER PILS BOTELLA X 500 ML,BITBURGER,$ 8.312,0,$ 10.390,0
JUMBO,CERVEZA LANDVIK LAGER LATA X330ML,LANDVIK,$ 1.752,0,$ 2.190,0
JUMBO,CERVEZA PAULANER DUNKEL BOTELLA X 500 ML,PAULANER,$ 14.072,0,$ 17.590,0
JUMBO,CERVEZA HOFBRAU MUNCHEN DUNKEL BOTELLA X 500 ML,HOFBRAU MUNCHEN,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA NOCTURNUM DELIRIUM BOTELLA X 330 ML,DELIRIUM,$ 13.272,0,$ 16.590,0
JUMBO,CERVEZA ERDINGER URWEISSE X 500ML,ERDINGER,$ 11.192,0,$ 13.990,0
JUMBO,CERVEZA 8.6 LATA X 4 UND X 500 M LC-U PRECIO ESPECIAL,8.6,$ 31.992,0,$ 39.990,0
JUMBO,CERVEZA FULLER'S LONDON PRIDE BOTELLA X 500ML,FULLERS,$ 13.592,0,$ 16.990,0
JUMBO,CERVEZA STEAM BREW PACK SURTIDO LATA X3UND X500ML C-U,STEAM BREW,$ 31.032,0,$ 38.790,0
JUMBO,CERVEZA 8.6 ESPECIAL X500ML,8.6,$ 9.112,0,$ 11.390,0
JUMBO,CERVEZA STEAM BREW SESSION IPA LATA X500ML,STEAM BREW,$ 10.392,0,$ 12.990,0
JUMBO,CERVEZA BITBURGER PILS BARRIL X 5000 ML,BITBURGER,$ 79.992,0,$ 99.990,0
JUMBO,CERVEZA BREWDOG PUNK BOTELLA X330ML,BREWDOG,$ 9.912,0,$ 12.390,0
JUMBO,CERVEZA PAULANER SIN ALCOHOL BOTELLA X 500ML,PAULANER,$ 11.512,0,$ 14.390,0
JUMBO,CERVEZA BITBURGUER PILS LATA X 500 ML,BITBURGER,$ 8.472,0,$ 10.590,0
JUMBO,CERVEZA STEAM BREW WEIZEN PALE ALE LATA X500ML,STEAM BREW,$ 10.712,0,$ 13.390,0
JUMBO,CERVEZA BUDWEISER X6UND X269ML C-U + GLASSWARE,BUDWEISER,$ 23.992,0,$ 29.990,0
JUMBO,CERVEZA 8.6 GOLD LATA X500ML,8.6,$ 9.112,0,$ 11.390,0
JUMBO,CERVEZA 8.6 BLACK LATA X500ML,8.6,$ 9.112,0,$ 11.390,0
JUMBO,CERVEZA 6 BLONDE BLOND MAREDSOUS BOTELLA X 330 ML,MAREDSOUS,$ 10.872,0,$ 13.590,0
JUMBO,CERVEZA VEDETT EXTRA WHITE X330ML,VEDETT,$ 9.912,0,$ 12.390,0
JUMBO,CERVEZA HOLLANDIA PREMIUM BOT *650 ML,HOLLANDIA,$ 7.032,0,$ 8.790,0
JUMBO,CERVEZA BALTIKA 9 EXTRA BOTELLA X 450 ML,BALTIKA,$ 8.472,0,$ 10.590,0
JUMBO,CERVEZA ANDINA LATA X6UND X330ML C/U,ANDINA,0,0,$ 14.400,0
